03M299,"High School For Arts, Imagination And Inquiry ",57,364,378,357
27Q302,"Queens High School for Information, Research, and Te ",,,
15K462,"Secondary School for Law, Journalism and Research ",50,406,409,393
06M540,A Philip Randolph Campus High School ,193,436,451,421
21K410,ABRAHAM LINCOLN HIGH SCHOOL ,379,386,429,385
08X450,ADLAI E STEVENSON HIGH SCHOOL ,,,
07X600,ALFRED E SMITH HIGH SCHOOL ,53,367,372,354
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL ,35,349,329,341
27Q400,AUGUST MARTIN HIGH SCHOOL ,102,377,372,362
14K610,AUTOMOTIVE HIGH SCHOOL ,73,353,359,340
04M635,Academy of Environment Science Secondary School ,39,380,385,354
19K618,Academy of Innovative Technology High School ,,,
16K498,Acorn High School for Social Justice ,34,367,364,364
24Q610,Aviation Career & Technical Education High School ,289,444,494,427
08X530,BANANA KELLY HIGH SCHOOL ,48,377,382,368
01M696,BARD HIGH SCHOOL EARLY COLLEGE ,138,630,608,630
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II ,42,545,548,541
26Q495,BAYSIDE HIGH SCHOOL ,732,472,531,467
27Q410,BEACH CHANNEL HIGH SCHOOL ,114,393,390,380
03M479,BEACON SCHOOL ,237,573,563,575
13K595,BEDFORD ACADEMY HIGH SCHOOL ,50,453,469,441
26Q415,BENJAMIN CARDOZO HIGH SCHOOL ,697,486,551,492
16K455,BOYS AND GIRLS HIGH SCHOOL ,143,369,367,366
08X560,BRONX ACADEMY HIGH SCHOOL ,19,373,354,364
11X545,BRONX AEROSPACE HIGH SCHOOL ,47,393,395,389
08X377,BRONX COMMUNITY HIGH SCHOOL (X377) ,10,416,393,414
07X381,BRONX HAVEN HIGH SCHOOL ,15,335,342,372
09X412,BRONX HIGH SCHOOL OF BUSINESS ,35,369,397,366
10X442,BRONX HIGH SCHOOL OF MUSIC ,38,421,432,439
10X445,BRONX HIGH SCHOOL OF SCIENCE ,683,632,685,643
11X265,BRONX LAB SCHOOL ,70,356,370,355
12X480,BRONX REGIONAL HIGH SCHOOL ,12,359,366,359
10X284,BRONX SCHOOL OF LAW & FINANCE ,54,404,397,383
10X546,BRONX THEATER HIGH SCHOOL ,50,406,389,388
13K553,BROOKLYN ACADEMY HIGH SCHOOL ,19,403,384,377
13K412,BROOKLYN COMMUNITY HIGH SCHOOL ,43,393,356,377
18K566,BROOKLYN GENERATION SCHOOL ,,,
14K449,BROOKLYN LATIN SCHOOL ,50,536,534,527
14K488,BROOKLYN PREP HIGH SCHOOL ,44,397,377,387
15K429,BROOKLYN SCHOOL GLOBAL STUDIES ,50,374,365,374
13K430,BROOKLYN TECHNICAL HIGH SCHOOL ,1047,588,652,581
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL ,,,
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL ,20,356,358,366
02M411,Baruch College Campus High School ,96,523,583,528
02M440,Bayard Rustin High School Humanities ,136,387,394,379
13K575,Bedford Stuyvesant Street Academy High School ,20,366,380,362
10X434,Belmont Preparatory High School ,65,358,370,346
05M685,Bread & Rose Intergrated Arts High School ,54,364,378,359
12X680,Bronx Coalition Community High School ,31,372,366,360
09X227,Bronx Expeditionary Learning High School ,46,371,358,343
11X249,Bronx Health School High School 11x249 ,52,363,366,364
12X262,Bronx High School Performance & Stage ,41,383,360,387
11X418,Bronx High School for the Visual Arts ,54,419,403,392
10X439,Bronx High School of Law and Community Service ,57,389,400,382
09X403,Bronx International High School ,37,335,335,340
12X267,Bronx Latin School ,,,
09X525,Bronx Leadership Academy High School ,116,402,397,396
07X527,Bronx Leadership Academy II High School ,55,377,381,379
22K555,Brooklyn College Academy High School ,109,459,460,446
17K547,Brooklyn High School for Science and the Environ ,45,391,396,388
15K656,Brooklyn High School of the Arts ,71,416,417,425
19K639,Brooklyn Lab School ,,,
32K480,Bushwick High School ,,,
32K556,Bushwick Leaders High School for Academic Excel ,30,357,345,351
18K500,CANARSIE HIGH SCHOOL ,128,372,373,364
01M650,CASCADES HIGH SCHOOL ,35,411,401,401
04M555,CENTRAL PARK SECONDARY SCHOOL ,35,362,378,356
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH ,63,455,423,420
01M509,CMSP HIGH SCHOOL ,,,
15K519,COBBE HILL SCHOOL AMERICAN STD ,44,365,358,360
31R470,CONCORD HIGH SCHOOL ,10,474,431,397
07X321,CROTANA ACADEMY HIGH SCHOOL ,,,
31R450,CURTIS HIGH SCHOOL ,373,439,441,430
17K469,Campus School of the Humanities at Erasmus Hall ,,,
02M615,Chelsea Career and Technical Education High School ,61,393,412,376
11X415,Christopher Columbus High School ,114,354,373,350
02M560,City as School ,57,468,441,434
17K600,Clara Barton High School ,282,419,413,411
07X427,Community High School Social Justice ,50,372,351,359
10X549,DISCOVERY HIGH SCHOOL ,31,340,340,351
09X329,DREAMYARD PREPARATORY SCHOOL ,46,394,404,389
10X440,DeWitt Clinton High School ,438,425,440,417
13K265,Dr Susan S McKinney Secondary School of the Arts ,46,387,369,369
02M545,Dual Language and Asian Studies High School ,47,416,612,419
25Q281,EAST WEST SCHOOL OF INTERNATIONAL STUDIE ,50,438,485,442
32K545,EBC High School for Public Service - Bushwick ,82,389,390,376
23K645,EBC High School for Public Service - East New York ,24,376,358,368
21K525,EDWARD R MURROW HIGH SCHOOL ,686,472,503,468
02M416,ELEANOR ROOSEVELT HIGH SCHOOL ,122,555,596,567
11X425,EVANDER CHILDS HIGH SCHOOL ,7,344,306,350
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL ,55,394,358,388
18K673,East Brooklyn Community High School ,,,
19K615,East New York High School of Transit Technology ,184,413,419,403
01M450,East Side Community High School ,69,418,431,402
03M505,Edward A. Reynolds West Side High School ,18,410,407,388
27Q465,FAR ROCKAWAY HIGH SCHOOL ,31,350,369,360
25Q460,FLUSHING HIGH SCHOOL ,278,372,398,366
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL ,57,325,415,311
02M288,FOOD AND FNANCE HIGH SCHOOL ,50,422,412,407
28Q440,FOREST HILLS HIGH SCHOOL ,627,468,491,462
20K490,FORT HAMILTON HIGH SCHOOL ,581,416,486,409
26Q430,FRANCIS LEWIS HIGH SCHOOL ,808,457,530,454
19K420,FRANKLIN K LANE HIGH SCHOOL ,140,353,379,341
12X682,Fannie Lou Hamer Freedom High School ,75,333,326,330
10X437,Fordham High School for the Arts ,42,377,375,375
30Q501,Frank Sinatra School of the Arts ,153,506,495,499
20K505,Franklin D Roosevelt High School ,385,387,492,377
09X517,Frederick Douglass Academy III Secondary School ,44,399,414,406
16K393,Frederick Douglass Academy IV Seconday School ,29,429,421,424
23K514,Frederick Douglass Academy VII High School ,50,416,396,414
11X541,GLOBAL ENTERPRISE HIGH SCHOOL ,43,372,359,373
02M374,GRAMERCY ARTS HIGH SCHOOL ,49,395,376,386
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMEN ,52,381,381,366
06M552,GREGORIO LUPERON PREP SCHOOL ,60,342,384,333
24Q485,GROVER CLEVELAND HIGH SCHOOL ,269,398,431,391
08X295,Gateway School for Environmental Research & Tech ,31,377,367,368
31R064,Gaynor McCown Expeditionary Learning School ,,,
17K470,George Wood Wingate High School ,,,
10X660,Grace Dodge Vocational High School ,93,380,385,369
05M285,HARLEM RENAISSANCE HIGH SCHOOL ,19,402,394,367
11X455,HARRY S TRUMAN HIGH SCHOOL ,201,380,384,379
14K640,HARRY VAN ARSDALE HIGH SCHOOL ,,,
02M586,HARVEY MILK SCHOOL ,11,429,382,416
08X405,HERBERT H LEHMAN HIGH SCHOOL ,448,414,433,397
04M680,HERITAGE SCHOOL ,47,369,385,361
08X540,HIGH SCHOOL CMTY RESEARCH LRN ,29,356,376,368
02M400,HIGH SCHOOL ENVRNMNTL STUDIES ,216,465,480,448
02M600,HIGH SCHOOL FASHION INDUSTRIES ,301,419,420,413
24Q550,HIGH SCHOOL FOR ARTS/BUSINESS ,127,363,372,363
19K504,HIGH SCHOOL FOR CIVIL RIGHTS ,23,369,372,380
09X404,HIGH SCHOOL FOR EXCELLENCE ,32,366,373,371
17K528,HIGH SCHOOL FOR GLOBAL CITIZENSHIP ,81,382,387,381
02M294,HIGH SCHOOL FOR HIST AND COMM ,51,382,364,366
06M468,HIGH SCHOOL FOR HLTH CARER/SER ,28,385,417,373
06M462,HIGH SCHOOL FOR INTL BUS/FIN ,56,383,384,379
17K546,HIGH SCHOOL FOR PUBLIC SERVICE ,83,412,427,420
02M420,HIGH SCHOOL HLTH PROF HUMAN ,250,446,458,440
02M425,HIGH SCHOOL LEADERSHIP PUB SVC ,74,419,429,406
