DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
06M540,A Philip Randolph Campus High School ,193,436,451,421
21K410,ABRAHAM LINCOLN HIGH SCHOOL ,379,386,429,385
17K382,ACADEMY FOR COLLEGE PREPARATION CAREER ,50,401,412,404
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY ,,,,
14K404,ACADEMY FOR YOUNG WRITERS ,70,377,366,365
30Q575,ACADEMY OF AMERICAN STUDIES ,120,502,505,515
32K403,ACADEMY OF ENVIRONMENTAL LEADERSHIP ,36,382,369,374
24Q264,ACADEMY OF FINANCE AND ENTERPRISE ,65,407,432,417
17K408,ACADEMY OF HOSPITALITY AND TOURISM ,31,400,405,399
27Q309,ACADEMY OF MEDICAL TECHNOLOGY ,,,,
08X450,ADLAI E STEVENSON HIGH SCHOOL ,,,,
07X600,ALFRED E SMITH HIGH SCHOOL ,53,367,372,354
32K554,ALL CITY LEADERSHIP SECONDARY ,29,394,420,395
02M047,AMERICAN SIGN LANG ENG DUAL ,11,405,415,385
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL ,35,349,329,341
11X299,ASTOR COLLEGIATE ACADEMY ,38,404,400,388
27Q400,AUGUST MARTIN HIGH SCHOOL ,102,377,372,362
14K610,AUTOMOTIVE HIGH SCHOOL ,73,353,359,340
30Q301,Academy for Careers in Television and Film ,,,,
11X270,Academy for Scholarship and Entrepreneurship ,37,373,376,362
05M367,Academy for Social Action ,,,,
04M635,Academy of Environment Science Secondary School ,39,380,385,354
19K618,Academy of Innovative Technology High School ,,,,
32K552,Academy of Urban Planning ,49,355,361,353
13K499,Acorn Association of Community Organization Return ,103,367,361,360
16K498,Acorn High School for Social Justice ,34,367,364,364
30Q580,BACCALAUREATE SCH GLOBAL EDUC ,64,560,587,570
08X530,BANANA KELLY HIGH SCHOOL ,48,377,382,368
01M696,BARD HIGH SCHOOL EARLY COLLEGE ,138,630,608,630
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II ,42,545,548,541
26Q495,BAYSIDE HIGH SCHOOL ,732,472,531,467
27Q410,BEACH CHANNEL HIGH SCHOOL ,114,393,390,380
03M479,BEACON SCHOOL ,237,573,563,575
13K595,BEDFORD ACADEMY HIGH SCHOOL ,50,453,469,441
13K670,BENJAMIN BANNEKER ACADEMY ,168,476,477,445
26Q415,BENJAMIN CARDOZO HIGH SCHOOL ,697,486,551,492
16K455,BOYS AND GIRLS HIGH SCHOOL ,143,369,367,366
11X290,BRONX ACAD OF HEALTH CAREERS ,46,369,363,380
08X560,BRONX ACADEMY HIGH SCHOOL ,19,373,354,364
11X545,BRONX AEROSPACE HIGH SCHOOL ,47,393,395,389
