DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
19K409,EAST NEW YORK FAMILY ACADEMY ,61,435,428,414
12X245,NEW DAY ACADEMY ,24,368,349,358
02M543,NEW DESIGN HIGH SCHOOL ,74,390,385,387
31R440,NEW DORP HIGH SCHOOL ,282,431,446,434
07X547,NEW EXPLORERS HIGH SCHOOL ,36,382,376,376
20K445,NEW UTRECHT HIGH SCHOOL ,317,409,471,407
11X513,NEW WORLD HIGH SCHOOL ,43,331,384,341
02M414,NEW YORK CITY MUSEUM SCHOOL ,90,454,448,435
02M531,NEW YORK CITY PUB SCH REP COMP ,32,415,405,397
30Q555,NEWCOMERS HIGH SCHOOL ,147,343,447,346
24Q455,NEWTOWN HIGH SCHOOL ,251,379,427,372
